a, b, c, d, e, f
2, 3549, Note_on_c, 0, 65, 0
2, 3549, Note_on_c, 0, 55, 0
2, 3581, Note_on_c, 0, 66, 80
2, 3581, Note_on_c, 0, 72, 80
2, 3581, Note_on_c, 0, 76, 80
2, 3583, Note_on_c, 0, 59, 0
2, 3620, Control_c, 0, 64, 127
2, 3622, Note_on_c, 0, 45, 80
2, 3624, Note_on_c, 0, 57, 80
2, 3646, Note_on_c, 0, 45, 0
2, 3684, Note_on_c, 0, 57, 0
2, 3684, Control_c, 0, 64, 0
2, 3719, Note_on_c, 0, 54, 80
2, 3719, Note_on_c, 0, 57, 80
2, 3719, Note_on_c, 0, 60, 80
2, 3719, Note_on_c, 0, 62, 80
2, 3744, Note_on_c, 0, 54, 0
2, 3746, Note_on_c, 0, 60, 0
2, 3753, Note_on_c, 0, 62, 0
2, 3790, Note_on_c, 0, 57, 0
2, 3812, Note_on_c, 0, 43, 80
2, 3812, Note_on_c, 0, 55, 80
2, 3814, Note_on_c, 0, 72, 0
2, 3816, Note_on_c, 0, 76, 0
2, 3816, Note_on_c, 0, 66, 0
2, 3840, Note_on_c, 0, 43, 0
2, 3874, Note_on_c, 0, 76, 80
2, 3879, Note_on_c, 0, 55, 0
2, 3879, Note_on_c, 0, 67, 80
2, 3879, Note_on_c, 0, 71, 80
2, 3917, Note_on_c, 0, 55, 80
2, 3917, Note_on_c, 0, 59, 80
2, 3917, Note_on_c, 0, 62, 80
2, 3919, Note_on_c, 0, 65, 80
2, 3941, Note_on_c, 0, 67, 0
2, 3943, Note_on_c, 0, 62, 0
2, 3945, Note_on_c, 0, 59, 0
2, 3945, Note_on_c, 0, 76, 0
2, 3945, Note_on_c, 0, 71, 0
2, 3959, Note_on_c, 0, 65, 0
2, 3978, Note_on_c, 0, 71, 80
2, 3982, Note_on_c, 0, 67, 80
2, 3994, Note_on_c, 0, 67, 0
2, 3994, Note_on_c, 0, 55, 0
2, 4009, Note_on_c, 0, 71, 0
2, 4018, Note_on_c, 0, 52, 80
2, 4018, Note_on_c, 0, 67, 80
2, 4020, Note_on_c, 0, 40, 80
2, 4020, Note_on_c, 0, 74, 80
2, 4029, Control_c, 0, 64, 127
2, 4042, Note_on_c, 0, 67, 0
2, 4046, Note_on_c, 0, 40, 0
2, 4080, Note_on_c, 0, 67, 80
2, 4096, Control_c, 0, 64, 0
2, 4117, Note_on_c, 0, 55, 80
2, 4117, Note_on_c, 0, 60, 80
2, 4117, Note_on_c, 0, 64, 80
2, 4145, Note_on_c, 0, 64, 0
2, 4145, Note_on_c, 0, 74, 0
2, 4145, Note_on_c, 0, 67, 0
2, 4145, Note_on_c, 0, 55, 0
2, 4145, Note_on_c, 0, 60, 0
2, 4179, Note_on_c, 0, 72, 80
2, 4183, Note_on_c, 0, 78, 80
2, 4183, Note_on_c, 0, 83, 80
2, 4194, Note_on_c, 0, 52, 0
2, 4216, Note_on_c, 0, 42, 80
2, 4216, Note_on_c, 0, 51, 80
2, 4242, Note_on_c, 0, 42, 0
2, 4311, Note_on_c, 0, 54, 80
2, 4311, Note_on_c, 0, 60, 80
2, 4311, Note_on_c, 0, 63, 80
2, 4335, Note_on_c, 0, 60, 0
2, 4335, Note_on_c, 0, 54, 0
2, 4337, Note_on_c, 0, 63, 0
2, 4395, Note_on_c, 0, 51, 0
2, 4406, Note_on_c, 0, 72, 0
2, 4406, Note_on_c, 0, 78, 0
2, 4408, Note_on_c, 0, 41, 80
2, 4408, Note_on_c, 0, 50, 80
2, 4412, Note_on_c, 0, 83, 0
2, 4416, Control_c, 0, 64, 127
2, 4444, Note_on_c, 0, 50, 0
2, 4446, Note_on_c, 0, 41, 0
2, 4467, Note_on_c, 0, 71, 80
2, 4469, Note_on_c, 0, 77, 80
2, 4473, Note_on_c, 0, 80, 80
2, 4484, Note_on_c, 0, 77, 0
2, 4484, Note_on_c, 0, 71, 0
2, 4484, Control_c, 0, 64, 0
2, 4497, Note_on_c, 0, 80, 0
2, 4506, Note_on_c, 0, 55, 80
2, 4506, Note_on_c, 0, 59, 80
2, 4506, Note_on_c, 0, 62, 80
2, 4506, Note_on_c, 0, 65, 80
2, 4506, Note_on_c, 0, 71, 80
2, 4506, Note_on_c, 0, 77, 80
2, 4511, Note_on_c, 0, 81, 80
2, 4532, Note_on_c, 0, 77, 0
2, 4532, Note_on_c, 0, 62, 0
2, 4532, Note_on_c, 0, 59, 0
2, 4532, Note_on_c, 0, 55, 0
2, 4532, Note_on_c, 0, 71, 0
2, 4534, Note_on_c, 0, 65, 0
2, 4536, Note_on_c, 0, 81, 0
2, 4568, Note_on_c, 0, 71, 80
2, 4603, Note_on_c, 0, 43, 80
2, 4603, Note_on_c, 0, 50, 80
2, 4603, Note_on_c, 0, 67, 80
2, 4603, Note_on_c, 0, 76, 80
2, 4631, Note_on_c, 0, 76, 0
2, 4631, Note_on_c, 0, 71, 0
2, 4631, Note_on_c, 0, 67, 0
2, 4641, Note_on_c, 0, 50, 0
2, 4641, Note_on_c, 0, 43, 0
2, 4667, Note_on_c, 0, 67, 80
2, 4704, Note_on_c, 0, 55, 80
2, 4704, Note_on_c, 0, 59, 80
2, 4704, Note_on_c, 0, 62, 80
2, 4704, Note_on_c, 0, 65, 80
2, 4704, Note_on_c, 0, 74, 80
2, 4726, Note_on_c, 0, 74, 0
2, 4726, Note_on_c, 0, 55, 0
2, 4726, Note_on_c, 0, 59, 0
2, 4726, Note_on_c, 0, 67, 0
2, 4726, Note_on_c, 0, 65, 0
2, 4726, Note_on_c, 0, 62, 0
2, 4762, Note_on_c, 0, 67, 80
2, 4762, Note_on_c, 0, 71, 80
2, 4790, Note_on_c, 0, 71, 0
2, 4790, Note_on_c, 0, 67, 0
2, 4797, Note_on_c, 0, 60, 80
2, 4799, Note_on_c, 0, 48, 80
2, 4800, Note_on_c, 0, 55, 80
2, 4811, Control_c, 0, 64, 127
2, 4828, Note_on_c, 0, 55, 0
2, 4828, Note_on_c, 0, 48, 0
2, 4859, Note_on_c, 0, 92, 80
2, 4864, Note_on_c, 0, 60, 0
2, 4864, Note_on_c, 0, 80, 80
2, 4877, Control_c, 0, 64, 0
2, 4890, Note_on_c, 0, 80, 0
2, 4890, Note_on_c, 0, 92, 0
2, 4898, Note_on_c, 0, 55, 80
2, 4898, Note_on_c, 0, 60, 80
2, 4898, Note_on_c, 0, 64, 80
2, 4898, Note_on_c, 0, 81, 80
2, 4898, Note_on_c, 0, 88, 80
2, 4898, Note_on_c, 0, 93, 80
2, 4924, Note_on_c, 0, 64, 0
2, 4924, Note_on_c, 0, 55, 0
2, 4946, Note_on_c, 0, 81, 0
2, 4946, Note_on_c, 0, 88, 0
2, 4946, Note_on_c, 0, 93, 0
2, 4992, Note_on_c, 0, 90, 80
2, 4993, Note_on_c, 0, 43, 80
2, 4993, Note_on_c, 0, 78, 80
2, 5017, Note_on_c, 0, 43, 0
2, 5045, Note_on_c, 0, 78, 0
2, 5045, Note_on_c, 0, 90, 0
2, 5058, Note_on_c, 0, 60, 0
2, 5092, Note_on_c, 0, 55, 80
